Unnamed: 0,product_name,link, product_images,price,details
0,STRAIGHT FIT JEANS,https://www.zara.com/in/en/straight-fit-jeans-p05585312.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5585/312/400/2/w/448/5585312400_1_1_1.jpg?ts=1692951282794': 'Image 0 of STRAIGHT FIT JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5585/312/400/2/w/448/5585312400_2_1_1.jpg?ts=1692951290257': 'Image 1 of STRAIGHT FIT JEANS from Zara'}]","₹ 4,990.00",Straight-leg jeans with a five-pocket design. Faded with ripped details and a stain print on the legs. Front zip fly and top button fastening.
1,GEOMETRIC JACQUARD JEANS,https://www.zara.com/in/en/geometric-jacquard-jeans-p01538322.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1538/322/802/2/w/448/1538322802_1_1_1.jpg?ts=1692960481484': 'Image 0 of GEOMETRIC JACQUARD JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1538/322/802/2/w/448/1538322802_2_1_1.jpg?ts=1692960481784': 'Image 1 of GEOMETRIC JACQUARD JEANS from Zara'}]","₹ 4,990.00",Straight fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.
2,STRAIGHT FIT RIPPED JEANS,https://www.zara.com/in/en/straight-fit-ripped-jeans-p08062306.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/8062/306/427/2/w/448/8062306427_1_1_1.jpg?ts=1692780182445': 'Image 0 of STRAIGHT FIT RIPPED JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/8062/306/427/2/w/448/8062306427_2_1_1.jpg?ts=1692780184103': 'Image 1 of STRAIGHT FIT RIPPED JEANS from Zara'}]","₹ 3,290.00",Straight fit jeans. Five pockets. Faded with rips on the legs. Front zip fly and button fastening.
3,CROPPED SLIM JEANS,https://www.zara.com/in/en/cropped-slim-jeans-p08062305.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/8062/305/407/2/w/448/8062305407_1_1_1.jpg?ts=1692201952270': 'Image 0 of CROPPED SLIM JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/8062/305/407/2/w/448/8062305407_2_1_1.jpg?ts=1692201952279': 'Image 1 of CROPPED SLIM JEANS from Zara'}]","₹ 4,990.00",Cropped slim fit jeans. Five-pocket design. Faded and ripped detail on the legs. Zip fly and top button fastening.
4,RELAXED-FIT RIPPED JEANS,https://www.zara.com/in/en/relaxed-fit-ripped-jeans-p08062333.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/8062/333/427/2/w/448/8062333427_1_1_1.jpg?ts=1692355484258': 'Image 0 of RELAXED-FIT RIPPED JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/8062/333/427/2/w/448/8062333427_2_1_1.jpg?ts=1692355484271': 'Image 1 of RELAXED-FIT RIPPED JEANS from Zara'}]","₹ 4,990.00",Relaxed-fit jeans with a five-pocket design. Faded and ripped effect on the legs. Irregular double-effect hems. Front button fly fastening.
5,SLIM FIT JEANS,https://www.zara.com/in/en/slim-fit-jeans-p00774330.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0774/330/406/2/w/448/0774330406_1_1_1.jpg?ts=1689605484740': 'Image 0 of SLIM FIT JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0774/330/406/2/w/448/0774330406_2_1_1.jpg?ts=1689605484659': 'Image 1 of SLIM FIT JEANS from Zara'}]","₹ 2,490.00",Slim fit jeans. Five pockets. Faded effect. Front zip fly and button fastening.
6,RELAXED FIT PLEATED JEANS,https://www.zara.com/in/en/relaxed-fit-pleated-jeans-p01538310.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1538/310/802/2/w/448/1538310802_1_1_1.jpg?ts=1690535018602': 'Image 0 of RELAXED FIT PLEATED JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1538/310/802/2/w/448/1538310802_2_1_1.jpg?ts=1690535017880': 'Image 1 of RELAXED FIT PLEATED JEANS from Zara'}]","₹ 3,990.00",Relaxed fit jeans. Waist with front pleats. Front pockets and rear patch pockets. Faded effect. Front zip fly and button fastening.
10,CROPPED SLIM JEANS,https://www.zara.com/in/en/cropped-slim-jeans-p08062475.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/8062/475/406/2/w/448/8062475406_1_1_1.jpg?ts=1689683399181': 'Image 0 of CROPPED SLIM JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/8062/475/406/2/w/448/8062475406_2_1_1.jpg?ts=1689683395819': 'Image 1 of CROPPED SLIM JEANS from Zara'}]","₹ 2,490.00",Cropped slim fit jeans with a five-pocket design. Faded effect. Zip fly and button fastening.
12,TAPERED FIT JEANS,https://www.zara.com/in/en/tapered-fit-jeans-p00840325.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5585/325/445/2/w/448/5585325445_1_1_1.jpg?ts=1690540059037': 'Image 0 of TAPERED FIT JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5585/325/445/2/w/448/5585325445_2_1_1.jpg?ts=1690540059166': 'Image 1 of TAPERED FIT JEANS from Zara'}]","₹ 3,290.00",Tapered fit jeans. Five pockets. Faded effect. Cropped length. Front zip fly and button fastening.
13,METALLIC-EFFECT JEANS,https://www.zara.com/in/en/metallic-effect-jeans-p05520307.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5520/307/400/2/w/448/5520307400_6_1_1.jpg?ts=1692171470620': 'Image 0 of METALLIC-EFFECT JEANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5520/307/400/2/w/448/5520307400_6_2_1.jpg?ts=1692171470258': 'Image 1 of METALLIC-EFFECT JEANS from Zara'}]","₹ 5,990.00",Straight fit jeans made of faded denim with an irregular metallic finish. Five pockets. Front zip fly and top button fastening.
